"ranking","municipio","IDHM_2010","IDHM_renda","IDHM_longevidade","IDHM_educação","estado"
"2828 º","Vargem Alta",0.663,0.658,0.814,0.544,"ES"
"2828 º","Conceição do Jacuípe",0.663,0.63,0.799,0.579,"BA"
"2828 º","Onça de Pitangui",0.663,0.646,0.806,0.559,"MG"
"2828 º","Nova Maringá",0.663,0.702,0.815,0.509,"MT"
"2828 º","Santa Margarida do Sul",0.663,0.691,0.87,0.484,"RS"
"2828 º","Aliança do Tocantins",0.663,0.61,0.801,0.596,"TO"
"2828 º","Sengés",0.663,0.658,0.811,0.546,"PR"
"2828 º","São Francisco do Glória",0.663,0.647,0.833,0.541,"MG"
"2828 º","Araçuaí",0.663,0.633,0.821,0.56,"MG"
"2828 º","Novo Machado",0.663,0.674,0.796,0.543,"RS"
"2828 º","Limoeiro",0.663,0.628,0.797,0.583,"PE"
"2828 º","Jardim do Seridó",0.663,0.647,0.772,0.584,"RN"
"2828 º","Miradouro",0.663,0.645,0.827,0.546,"MG"
"2828 º","Espera Feliz",0.663,0.663,0.846,0.52,"MG"
"2828 º","São José dos Ausentes",0.663,0.674,0.801,0.541,"RS"
"2828 º","Aguanil",0.663,0.672,0.845,0.513,"MG"
"2846 º","Nova União",0.662,0.624,0.818,0.568,"MG"
"2846 º","Barcarena",0.662,0.643,0.801,0.564,"PA"
"2846 º","Cariri do Tocantins",0.662,0.639,0.826,0.549,"TO"
"2846 º","São Joaquim de Bicas",0.662,0.664,0.844,0.518,"MG"
"2846 º","Macieira",0.662,0.675,0.806,0.533,"SC"
"2846 º","Santa Tereza do Tocantins",0.662,0.618,0.817,0.575,"TO"
"2846 º","Jaú do Tocantins",0.662,0.672,0.815,0.529,"TO"
"2846 º","Três Forquilhas",0.662,0.661,0.813,0.539,"RS"
"2846 º","São Cristóvão",0.662,0.624,0.8,0.581,"SE"
"2846 º","São Tiago",0.662,0.66,0.825,0.533,"MG"
"2846 º","Rosário do Ivaí",0.662,0.638,0.788,0.577,"PR"
"2846 º","Nazaré da Mata",0.662,0.608,0.789,0.604,"PE"
"2846 º","Ecoporanga",0.662,0.631,0.819,0.562,"ES"
"2846 º","Vila Nova do Sul",0.662,0.645,0.827,0.544,"RS"
"2846 º","Conselheiro Pena",0.662,0.646,0.837,0.537,"MG"
"2846 º","Juruena",0.662,0.647,0.797,0.563,"MT"
"2846 º","Sooretama",0.662,0.65,0.802,0.556,"ES"
"2846 º","Mato Verde",0.662,0.604,0.789,0.61,"MG"
"2846 º","Miranorte",0.662,0.633,0.804,0.571,"TO"
"2846 º","Iguatemi",0.662,0.671,0.817,0.53,"MS"
"2846 º","Rosário da Limeira",0.662,0.653,0.812,0.548,"MG"
"2846 º","Jacuizinho",0.662,0.73,0.817,0.487,"RS"
"2846 º","Barra do Quaraí",0.662,0.659,0.802,0.548,"RS"
"2846 º","Cacique Doble",0.662,0.677,0.81,0.528,"RS"
"2870 º","Fontoura Xavier",0.661,0.668,0.812,0.532,"RS"
"2870 º","Riozinho",0.661,0.69,0.885,0.472,"RS"
"2870 º","Teresina de Goiás",0.661,0.626,0.817,0.564,"GO"
"2870 º","Esperança do Sul",0.661,0.665,0.788,0.55,"RS"
"2870 º","Pantano Grande",0.661,0.676,0.816,0.524,"RS"
"2870 º","São Gonçalo do Amarante",0.661,0.619,0.829,0.564,"RN"
"2870 º","São Raimundo Nonato",0.661,0.631,0.779,0.587,"PI"
"2870 º","Nova Rosalândia",0.661,0.582,0.791,0.628,"TO"
"2870 º","Alto Caparaó",0.661,0.666,0.842,0.514,"MG"
"2870 º","Itapirapuã Paulista",0.661,0.595,0.816,0.594,"SP"
"2870 º","Aracitaba",0.661,0.608,0.823,0.577,"MG"
"2870 º","Brunópolis",0.661,0.646,0.819,0.545,"SC"
"2870 º","Lajinha",0.661,0.659,0.81,0.541,"MG"
"2870 º","Pau D'Arco",0.661,0.621,0.792,0.587,"TO"
"2870 º","Bom Jesus do Araguaia",0.661,0.665,0.784,0.555,"MT"
"2870 º","Capela de Santana",0.661,0.675,0.816,0.525,"RS"
"2870 º","São José do Povo",0.661,0.63,0.793,0.577,"MT"
"2870 º","Indiavaí",0.661,0.645,0.841,0.533,"MT"
"2870 º","Jeceaba",0.661,0.629,0.844,0.544,"MG"
"2870 º","Açu",0.661,0.641,0.795,0.568,"RN"
"2870 º","Serra Talhada",0.661,0.632,0.8,0.571,"PE"
"2870 º","Divino das Laranjeiras",0.661,0.624,0.811,0.571,"MG"
"2870 º","Cerro Branco",0.661,0.671,0.816,0.527,"RS"
"2870 º","Propriá",0.661,0.629,0.776,0.593,"SE"
"2870 º","Campo Limpo de Goiás",0.661,0.654,0.829,0.533,"GO"
"2870 º","Toledo",0.661,0.66,0.802,0.546,"MG"
"2870 º","Pinheiro Machado",0.661,0.685,0.846,0.499,"RS"
"2870 º","Senador Amaral",0.661,0.623,0.821,0.564,"MG"
"2898 º","Alvorada do Norte",0.66,0.64,0.819,0.548,"GO"
"2898 º","Imbituva",0.66,0.681,0.828,0.509,"PR"
"2898 º","Agudos do Sul",0.66,0.671,0.79,0.543,"PR"
"2898 º","Satuba",0.66,0.619,0.794,0.585,"AL"
"2898 º","Figueirão",0.66,0.677,0.83,0.511,"MS"
"2898 º","Cerro Grande do Sul",0.66,0.673,0.855,0.499,"RS"
"2898 º","Extremoz",0.66,0.64,0.808,0.555,"RN"
"2898 º","Bom Sucesso de Itararé",0.66,0.605,0.775,0.613,"SP"
"2898 º","Muritiba",0.66,0.629,0.796,0.573,"BA"
"2898 º","Palmas",0.66,0.687,0.827,0.505,"PR"
"2898 º","Cordislândia",0.66,0.654,0.807,0.544,"MG"
"2898 º","Seritinga",0.66,0.657,0.853,0.512,"MG"
"2898 º","Cristal do Sul",0.66,0.641,0.826,0.542,"RS"
"2898 º","São Sebastião da Vargem Alegre",0.66,0.631,0.827,0.552,"MG"
"2898 º","Barra do Chapéu",0.66,0.617,0.779,0.599,"SP"
"2898 º","Bom Jardim",0.66,0.707,0.809,0.503,"RJ"
"2898 º","Alto Jequitibá",0.66,0.66,0.787,0.554,"MG"
"2898 º","Ipuaçu",0.66,0.674,0.79,0.54,"SC"
"2898 º","São Francisco de Paula",0.66,0.66,0.812,0.537,"MG"
"2898 º","Avelinópolis",0.66,0.682,0.828,0.508,"GO"
"2898 º","Cocalinho",0.66,0.674,0.807,0.528,"MT"
"2898 º","Lavandeira",0.66,0.598,0.775,0.62,"TO"
"2898 º","São José do Vale do Rio Preto",0.66,0.67,0.806,0.533,"RJ"
"2898 º","São Pedro da Cipa",0.66,0.654,0.79,0.556,"MT"
"2898 º","Belmiro Braga",0.66,0.653,0.83,0.531,"MG"
"2898 º","Bom Jesus do Tocantins",0.66,0.621,0.833,0.555,"TO"
"2924 º","São Pedro dos Ferros",0.659,0.631,0.789,0.576,"MG"
"2924 º","Segredo",0.659,0.673,0.811,0.525,"RS"
"2924 º","Duas Barras",0.659,0.677,0.79,0.534,"RJ"
"2924 º","Timbó Grande",0.659,0.634,0.798,0.565,"SC"
"2924 º","Maranguape",0.659,0.587,0.788,0.618,"CE"
"2924 º","Monte Azul",0.659,0.611,0.811,0.578,"MG"
"2924 º","Jaguarari",0.659,0.644,0.806,0.551,"BA"
"2924 º","Fortaleza do Tabocão",0.659,0.616,0.808,0.575,"TO"
"2924 º","Gameleira de Goiás",0.659,0.692,0.828,0.499,"GO"
"2924 º","Tucumã",0.659,0.67,0.813,0.525,"PA"
"2924 º","Leopoldo de Bulhões",0.659,0.665,0.812,0.529,"GO"
"2924 º","Japeri",0.659,0.637,0.809,0.555,"RJ"
"2924 º","Estreito",0.659,0.666,0.8,0.536,"MA"
"2924 º","Passos Maia",0.659,0.648,0.808,0.547,"SC"
"2924 º","Quixadá",0.659,0.592,0.775,0.624,"CE"
"2924 º","Carnaúba dos Dantas",0.659,0.624,0.796,0.577,"RN"
"2924 º","Varre-Sai",0.659,0.636,0.81,0.555,"RJ"
"2924 º","Santa Isabel do Pará",0.659,0.622,0.798,0.576,"PA"
"2924 º","Couto de Magalhães de Minas",0.659,0.6,0.807,0.592,"MG"
"2924 º","Posse",0.659,0.659,0.819,0.53,"GO"
"2924 º","Sandolândia",0.659,0.626,0.791,0.578,"TO"
"2924 º","Pacajus",0.659,0.609,0.788,0.596,"CE"
"2946 º","Piratini",0.658,0.672,0.821,0.517,"RS"
"2946 º","Bueno Brandão",0.658,0.662,0.848,0.507,"MG"
"2946 º","Parintins",0.658,0.589,0.8,0.605,"AM"
"2946 º","Novo Planalto",0.658,0.623,0.831,0.55,"GO"
"2946 º","Inhapim",0.658,0.642,0.829,0.535,"MG"
"2946 º","Jesuânia",0.658,0.675,0.831,0.507,"MG"
"2946 º","Oiapoque",0.658,0.693,0.779,0.527,"AP"
"2946 º","Nova Cantu",0.658,0.646,0.792,0.558,"PR"
"2946 º","Januária",0.658,0.611,0.82,0.568,"MG"
"2946 º","Minduri",0.658,0.631,0.805,0.56,"MG"
"2946 º","Grandes Rios",0.658,0.649,0.799,0.55,"PR"
"2946 º","Colinas do Sul",0.658,0.633,0.82,0.549,"GO"
"2946 º","Caseara",0.658,0.647,0.825,0.534,"TO"
"2946 º","São José do Divino",0.658,0.627,0.778,0.583,"MG"
"2946 º","Horizonte",0.658,0.594,0.788,0.61,"CE"
"2946 º","Terenos",0.658,0.651,0.839,0.521,"MS"
"2946 º","Castanheiras",0.658,0.65,0.803,0.547,"RO"
"2946 º","Jaboticaba",0.658,0.636,0.82,0.547,"RS"
"2964 º","Santo Hipólito",0.657,0.641,0.824,0.536,"MG"
"2964 º","Tunas",0.657,0.659,0.794,0.541,"RS"
"2964 º","Matos Costa",0.657,0.63,0.831,0.541,"SC"
"2964 º","Encruzilhada do Sul",0.657,0.677,0.875,0.478,"RS"
"2964 º","Redenção da Serra",0.657,0.633,0.799,0.56,"SP"
"2964 º","Tianguá",0.657,0.628,0.768,0.587,"CE"
"2964 º","Mantenópolis",0.657,0.636,0.81,0.551,"ES"
"2964 º","Presidente Kennedy",0.657,0.636,0.808,0.553,"ES"
"2964 º","São Sebastião do Passé",0.657,0.633,0.812,0.551,"BA"
"2964 º","São José do Xingu",0.657,0.703,0.828,0.487,"MT"
"2964 º","Afogados da Ingazeira",0.657,0.623,0.807,0.565,"PE"
"2964 º","Marliéria",0.657,0.629,0.838,0.537,"MG"
"2964 º","Ibertioga",0.657,0.606,0.834,0.56,"MG"
"2964 º","Itacurubi",0.657,0.692,0.804,0.509,"RS"
"2964 º","Entre Rios",0.657,0.638,0.808,0.55,"SC"
"2964 º","Heliodora",0.657,0.656,0.822,0.527,"MG"
"2964 º","Arroio Grande",0.657,0.673,0.807,0.522,"RS"
"2964 º","Aguiarnópolis",0.657,0.618,0.804,0.571,"TO"
"2964 º","Guajará-Mirim",0.657,0.663,0.823,0.519,"RO"
"2964 º","São José do Mantimento",0.657,0.612,0.823,0.562,"MG"
"2964 º","Cocalzinho de Goiás",0.657,0.648,0.826,0.531,"GO"
"2964 º","Divinésia",0.657,0.645,0.785,0.559,"MG"
"2986 º","Cordisburgo",0.656,0.644,0.786,0.558,"MG"
"2986 º","Vale de São Domingos",0.656,0.658,0.765,0.56,"MT"
"2986 º","Pescador",0.656,0.615,0.831,0.552,"MG"
"2986 º","Mesquita",0.656,0.638,0.796,0.555,"MG"
"2986 º","Santo Antônio do Leverger",0.656,0.651,0.806,0.539,"MT"
"2986 º","Rio dos Índios",0.656,0.645,0.804,0.545,"RS"
"2986 º","Ferreira Gomes",0.656,0.635,0.82,0.542,"AP"
"2986 º","Itaiçaba",0.656,0.581,0.758,0.642,"CE"
"2986 º","Itaúna do Sul",0.656,0.651,0.798,0.543,"PR"
"2986 º","Planalto da Serra",0.656,0.615,0.813,0.565,"MT"
"2986 º","Serro",0.656,0.65,0.834,0.52,"MG"
"2986 º","Brejetuba",0.656,0.63,0.828,0.54,"ES"
"2986 º","Laranja da Terra",0.656,0.633,0.81,0.55,"ES"
"2986 º","Curiúva",0.656,0.649,0.795,0.546,"PR"
"2986 º","Brasília de Minas",0.656,0.612,0.813,0.568,"MG"
"2986 º","Brumado",0.656,0.63,0.807,0.554,"BA"
"2986 º","Augusto de Lima",0.656,0.622,0.815,0.557,"MG"
"2986 º","Arinos",0.656,0.607,0.815,0.57,"MG"
"2986 º","Antônio Olinto",0.656,0.626,0.825,0.547,"PR"
"2986 º","Mata",0.656,0.66,0.807,0.529,"RS"
"2986 º","Tavares",0.656,0.692,0.828,0.492,"RS"
"2986 º","Campo Maior",0.656,0.629,0.793,0.566,"PI"
"3008 º","Pedra Dourada",0.655,0.631,0.827,0.539,"MG"
"3008 º","Chalé",0.655,0.636,0.787,0.561,"MG"
"3008 º","Manoel Viana",0.655,0.686,0.766,0.534,"RS"
"3008 º","Nova Iguaçu de Goiás",0.655,0.642,0.812,0.54,"GO"
"3008 º","Vitória das Missões",0.655,0.659,0.809,0.526,"RS"
"3008 º","São João do Sabugi",0.655,0.62,0.779,0.581,"RN"
"3008 º","Natividade da Serra",0.655,0.664,0.814,0.52,"SP"
"3008 º","Lamim",0.655,0.623,0.828,0.546,"MG"
"3008 º","Aracati",0.655,0.607,0.742,0.624,"CE"
"3008 º","Sapopema",0.655,0.695,0.795,0.509,"PR"
"3008 º","Capanema",0.655,0.61,0.794,0.58,"PA"
"3008 º","Raul Soares",0.655,0.658,0.823,0.52,"MG"
"3008 º","Engenheiro Navarro",0.655,0.599,0.791,0.594,"MG"
"3008 º","Tesouro",0.655,0.635,0.791,0.56,"MT"
"3008 º","Baliza",0.655,0.614,0.819,0.558,"GO"
"3008 º","Boa Ventura de São Roque",0.655,0.635,0.802,0.553,"PR"
"3008 º","Carmo da Cachoeira",0.655,0.672,0.801,0.523,"MG"
"3008 º","Belo Vale",0.655,0.672,0.814,0.514,"MG"
"3008 º","Funilândia",0.655,0.612,0.844,0.545,"MG"
"3008 º","Mandirituba",0.655,0.677,0.807,0.515,"PR"
"3008 º","São João da Baliza",0.655,0.614,0.78,0.587,"RR"
"3008 º","Santo Antônio do Leste",0.655,0.658,0.853,0.501,"MT"
"3030 º","Itapemirim",0.654,0.64,0.808,0.54,"ES"
"3030 º","Dores do Rio Preto",0.654,0.635,0.813,0.542,"ES"
"3030 º","Sem-Peixe",0.654,0.623,0.826,0.543,"MG"
"3030 º","Saltinho",0.654,0.639,0.795,0.551,"SC"
"3030 º","Galiléia",0.654,0.645,0.795,0.546,"MG"
"3030 º","Nova Viçosa",0.654,0.657,0.78,0.546,"BA"
"3030 º","Portelândia",0.654,0.68,0.803,0.513,"GO"
"3030 º","Francisco Sá",0.654,0.605,0.808,0.572,"MG"
"3030 º","Pinhão",0.654,0.649,0.806,0.534,"PR"
"3030 º","Itapiranga",0.654,0.594,0.792,0.594,"AM"
"3030 º","Santa Cruz Cabrália",0.654,0.624,0.784,0.571,"BA"
"3030 º","Rafael Godeiro",0.654,0.583,0.789,0.607,"RN"
"3030 º","Talismã",0.654,0.654,0.801,0.535,"TO"
"3030 º","São João do Jaguaribe",0.654,0.62,0.784,0.576,"CE"
"3030 º","Dezesseis de Novembro",0.654,0.625,0.809,0.553,"RS"
"3030 º","Itaporã",0.654,0.66,0.809,0.523,"MS"
"3030 º","Abre Campo",0.654,0.646,0.823,0.525,"MG"
"3030 º","Campos Verdes",0.654,0.608,0.796,0.577,"GO"
"3030 º","Capão Alto",0.654,0.68,0.796,0.516,"SC"
"3030 º","Tanguá",0.654,0.644,0.793,0.548,"RJ"
"3030 º","Silva Jardim",0.654,0.657,0.793,0.536,"RJ"
"3030 º","Cruzeta",0.654,0.602,0.748,0.621,"RN"
"3030 º","Iapu",0.654,0.639,0.819,0.535,"MG"
"3030 º","Pedro Canário",0.654,0.643,0.812,0.536,"ES"
"3030 º","Damianópolis",0.654,0.614,0.815,0.558,"GO"
"3055 º","Epitaciolândia",0.653,0.654,0.771,0.553,"AC"
"3055 º","Presidente Dutra",0.653,0.628,0.788,0.563,"MA"
"3055 º","Campestre de Goiás",0.653,0.628,0.799,0.556,"GO"
"3055 º","Trombas",0.653,0.628,0.812,0.547,"GO"
"3055 º","Rio Rufino",0.653,0.652,0.806,0.53,"SC"
"3055 º","Santa Amélia",0.653,0.655,0.809,0.526,"PR"
"3055 º","Itabirinha",0.653,0.625,0.838,0.531,"MG"
"3055 º","Ilha de Itamaracá",0.653,0.627,0.809,0.548,"PE"
"3055 º","São Lourenço da Mata",0.653,0.614,0.793,0.571,"PE"
"3055 º","Ritápolis",0.653,0.649,0.815,0.526,"MG"
"3055 º","Novo Santo Antônio",0.653,0.64,0.829,0.526,"MT"
"3055 º","Bom Repouso",0.653,0.647,0.821,0.523,"MG"
"3055 º","Capelinha",0.653,0.641,0.824,0.527,"MG"
"3055 º","Divinópolis de Goiás",0.653,0.624,0.813,0.55,"GO"
"3055 º","São João da Mata",0.653,0.676,0.822,0.501,"MG"
"3070 º","São José de Ubá",0.652,0.633,0.798,0.548,"RJ"
"3070 º","São Martinho da Serra",0.652,0.659,0.848,0.496,"RS"
"3070 º","Poconé",0.652,0.643,0.806,0.534,"MT"
"3070 º","Jijoca de Jericoacoara",0.652,0.614,0.723,0.625,"CE"
"3070 º","Caraá",0.652,0.661,0.83,0.505,"RS"
"3070 º","Guarará",0.652,0.65,0.802,0.532,"MG"
"3070 º","Ipiranga",0.652,0.684,0.828,0.489,"PR"
"3070 º","Iracema",0.652,0.597,0.733,0.632,"CE"
"3070 º","Moreno",0.652,0.61,0.805,0.564,"PE"
"3070 º","Casa Grande",0.652,0.608,0.823,0.555,"MG"
"3070 º","Mauá da Serra",0.652,0.661,0.793,0.529,"PR"
"3070 º","Guarinos",0.652,0.604,0.815,0.563,"GO"
"3070 º","Porto Esperidião",0.652,0.666,0.795,0.523,"MT"
"3070 º","Campestre do Maranhão",0.652,0.611,0.774,0.586,"MA"
"3070 º","Sério",0.652,0.695,0.847,0.471,"RS"
"3070 º","Ibarama",0.652,0.686,0.792,0.511,"RS"
"3070 º","Silveirânia",0.652,0.645,0.841,0.511,"MG"
"3070 º","Água Doce do Norte",0.652,0.619,0.819,0.546,"ES"
"3070 º","Chupinguaia",0.652,0.659,0.82,0.514,"RO"
"3070 º","General Carneiro",0.652,0.638,0.816,0.532,"PR"
"3090 º","Alto Boa Vista",0.651,0.613,0.803,0.561,"MT"
"3090 º","Virgínia",0.651,0.635,0.829,0.523,"MG"
"3090 º","Porteirinha",0.651,0.593,0.796,0.585,"MG"
"3090 º","Arraias",0.651,0.636,0.829,0.523,"TO"
"3090 º","Serra dos Aimorés",0.651,0.653,0.784,0.539,"MG"
"3090 º","Crucilândia",0.651,0.653,0.816,0.518,"MG"
"3090 º","Periquito",0.651,0.593,0.839,0.555,"MG"
"3090 º","Goiana",0.651,0.614,0.779,0.576,"PE"
"3090 º","São Francisco de Goiás",0.651,0.658,0.825,0.509,"GO"
"3090 º","Nova Campina",0.651,0.598,0.799,0.577,"SP"
"3090 º","Nova Brasilândia",0.651,0.673,0.845,0.485,"MT"
"3090 º","Padre Bernardo",0.651,0.67,0.801,0.515,"GO"
"3090 º","Ivaí",0.651,0.654,0.791,0.534,"PR"
"3090 º","Santana do Deserto",0.651,0.66,0.849,0.493,"MG"
"3090 º","Rochedo",0.651,0.676,0.83,0.491,"MS"
"3090 º","Taquaraçu de Minas",0.651,0.643,0.818,0.525,"MG"
"3090 º","Bacabal",0.651,0.619,0.753,0.591,"MA"
"3090 º","São Geraldo",0.651,0.656,0.831,0.507,"MG"
"3090 º","Aparecida do Rio Negro",0.651,0.593,0.791,0.588,"TO"
"3090 º","Nova Tebas",0.651,0.632,0.788,0.553,"PR"
"3090 º","Taquarussu",0.651,0.657,0.769,0.545,"MS"
"3090 º","Jati",0.651,0.562,0.776,0.634,"CE"
"3090 º","São José das Missões",0.651,0.652,0.782,0.542,"RS"
"3090 º","Igaratinga",0.651,0.682,0.842,0.481,"MG"
"3090 º","Santa Rita do Tocantins",0.651,0.63,0.83,0.527,"TO"
"3115 º","Carmésia",0.65,0.631,0.805,0.54,"MG"
"3115 º","Gameleiras",0.65,0.559,0.796,0.618,"MG"
"3115 º","Cabixi",0.65,0.65,0.757,0.559,"RO"
"3115 º","São João do Manhuaçu",0.65,0.659,0.836,0.498,"MG"
"3115 º","Itanhomi",0.65,0.656,0.831,0.503,"MG"
"3115 º","Nova Bandeirantes",0.65,0.696,0.842,0.469,"MT"
"3115 º","Pinhal da Serra",0.65,0.641,0.835,0.513,"RS"
"3115 º","Ventania",0.65,0.633,0.798,0.543,"PR"
"3115 º","Faina",0.65,0.644,0.799,0.534,"GO"
"3115 º","Cana Verde",0.65,0.652,0.821,0.512,"MG"
"3115 º","Canguçu",0.65,0.683,0.819,0.491,"RS"
"3115 º","Pium",0.65,0.633,0.822,0.527,"TO"
"3115 º","Rosário Oeste",0.65,0.653,0.807,0.52,"MT"
"3115 º","Rio Casca",0.65,0.651,0.813,0.519,"MG"
"3115 º","Guadalupe",0.65,0.639,0.794,0.542,"PI"
"3115 º","Barros Cassal",0.65,0.69,0.795,0.5,"RS"
"3115 º","Marmelópolis",0.65,0.615,0.806,0.553,"MG"
"3115 º","Pacaraima",0.65,0.624,0.788,0.558,"RR"
"3115 º","Monte Alegre dos Campos",0.65,0.667,0.822,0.501,"RS"
"3115 º","Monjolos",0.65,0.612,0.819,0.548,"MG"
"3115 º","Itaporã do Tocantins",0.65,0.613,0.842,0.531,"TO"
"3136 º","São Luiz",0.649,0.605,0.788,0.574,"RR"
"3136 º","Canaã",0.649,0.644,0.798,0.532,"MG"
"3136 º","Jesúpolis",0.649,0.642,0.814,0.522,"GO"
"3136 º","Boa Vista",0.649,0.59,0.796,0.582,"PB"
"3136 º","Barão de Monte Alto",0.649,0.619,0.827,0.533,"MG"
"3136 º","Candeias do Jamari",0.649,0.652,0.819,0.512,"RO"
"3136 º","Cerrito",0.649,0.657,0.824,0.504,"RS"
"3136 º","Arapiraca",0.649,0.638,0.78,0.549,"AL"
"3136 º","Bayeux",0.649,0.619,0.779,0.566,"PB"
"3136 º","Alagoa",0.649,0.634,0.832,0.518,"MG"
"3136 º","Barra dos Coqueiros",0.649,0.647,0.776,0.545,"SE"
"3136 º","Jacobina",0.649,0.636,0.772,0.558,"BA"
"3136 º","São Felipe D'Oeste",0.649,0.615,0.78,0.571,"RO"
"3136 º","Mampituba",0.649,0.65,0.813,0.517,"RS"
"3136 º","Novo Horizonte do Sul",0.649,0.656,0.798,0.523,"MS"
"3136 º","Lebon Régis",0.649,0.632,0.806,0.537,"SC"
"3136 º","Novo São Joaquim",0.649,0.658,0.819,0.507,"MT"
"3136 º","Peixoto de Azevedo",0.649,0.691,0.761,0.521,"MT"
"3136 º","Timon",0.649,0.614,0.768,0.579,"MA"
"3136 º","Unistalda",0.649,0.626,0.804,0.542,"RS"
"3156 º","Santa Cruz do Capibaribe",0.648,0.667,0.806,0.506,"PE"
"3156 º","Carlos Chagas",0.648,0.641,0.826,0.513,"MG"
"3156 º","Morro da Garça",0.648,0.619,0.816,0.538,"MG"
"3156 º","Angico",0.648,0.576,0.773,0.612,"TO"
"3156 º","Dilermando de Aguiar",0.648,0.681,0.864,0.463,"RS"
"3156 º","Rio Manso",0.648,0.676,0.802,0.501,"MG"
"3156 º","Frei Inocêncio",0.648,0.624,0.779,0.559,"MG"
"3156 º","Felixlândia",0.648,0.651,0.815,0.514,"MG"
"3156 º","Cabeceira Grande",0.648,0.638,0.788,0.542,"MG"
"3156 º","Ubajara",0.648,0.595,0.769,0.594,"CE"
"3156 º","Capela Nova",0.648,0.602,0.797,0.568,"MG"
"3156 º","Cardoso Moreira",0.648,0.653,0.782,0.534,"RJ"
"3156 º","São João do Oriente",0.648,0.631,0.805,0.536,"MG"
"3156 º","Santa Maria de Itabira",0.648,0.622,0.821,0.533,"MG"
"3156 º","Reserva do Iguaçu",0.648,0.636,0.82,0.521,"PR"
"3156 º","Passa-Vinte",0.648,0.662,0.809,0.507,"MG"
"3172 º","Brejo Santo",0.647,0.596,0.768,0.592,"CE"
"3172 º","Presidente Figueiredo",0.647,0.627,0.802,0.538,"AM"
"3172 º","Santana do Jacaré",0.647,0.655,0.79,0.523,"MG"
"3172 º","Cachoeira",0.647,0.615,0.762,0.577,"BA"
"3172 º","Caracol",0.647,0.628,0.826,0.522,"MS"
"3172 º","Valença do Piauí",0.647,0.62,0.773,0.566,"PI"
"3172 º","Vila Boa",0.647,0.619,0.818,0.534,"GO"
"3172 º","Salinópolis",0.647,0.628,0.798,0.541,"PA"
"3172 º","Ibatiba",0.647,0.651,0.83,0.501,"ES"
"3172 º","Estância",0.647,0.627,0.782,0.552,"SE"
"3172 º","Santana dos Montes",0.647,0.608,0.801,0.557,"MG"
"3172 º","Munhoz",0.647,0.634,0.821,0.52,"MG"
"3172 º","Bocaina do Sul",0.647,0.642,0.768,0.549,"SC"
"3172 º","Goiabeira",0.647,0.628,0.799,0.539,"MG"
"3186 º","São Sebastião do Alto",0.646,0.638,0.789,0.536,"RJ"
"3186 º","Alpercata",0.646,0.629,0.824,0.521,"MG"
"3186 º","Lontra",0.646,0.589,0.794,0.577,"MG"
"3186 º","Carvalhos",0.646,0.667,0.82,0.492,"MG"
"3186 º","Cascavel",0.646,0.587,0.793,0.578,"CE"
"3186 º","Cacaulândia",0.646,0.664,0.801,0.506,"RO"
"3186 º","Piracema",0.646,0.646,0.809,0.515,"MG"
"3186 º","Vale Verde",0.646,0.666,0.816,0.497,"RS"
"3186 º","Santo Amaro",0.646,0.626,0.772,0.559,"BA"
"3186 º","Itamarandiba",0.646,0.618,0.798,0.547,"MG"
"3186 º","Fernandes Tourinho",0.646,0.608,0.807,0.55,"MG"
"3186 º","Penaforte",0.646,0.566,0.761,0.626,"CE"
"3186 º","Lucrécia",0.646,0.624,0.785,0.551,"RN"
"3186 º","Xinguara",0.646,0.671,0.8,0.503,"PA"
"3186 º","São Miguel do Guaporé",0.646,0.644,0.781,0.537,"RO"
"3201 º","Muniz Freire",0.645,0.637,0.821,0.512,"ES"
"3201 º","Taparuba",0.645,0.604,0.799,0.557,"MG"
"3201 º","Tibau do Sul",0.645,0.672,0.794,0.504,"RN"
"3201 º","Vila Bela da Santíssima Trindade",0.645,0.644,0.843,0.495,"MT"
"3201 º","Simolândia",0.645,0.595,0.826,0.546,"GO"
"3201 º","General Maynard",0.645,0.609,0.776,0.567,"SE"
"3201 º","Porto Alegre do Tocantins",0.645,0.586,0.785,0.584,"TO"
"3201 º","Bocaina de Minas",0.645,0.665,0.848,0.476,"MG"
"3201 º","Ouro Branco",0.645,0.61,0.789,0.558,"RN"
"3201 º","Tabuleiro do Norte",0.645,0.62,0.791,0.547,"CE"
"3201 º","Jatobá",0.645,0.604,0.775,0.573,"PE"
"3201 º","São Nicolau",0.645,0.658,0.778,0.523,"RS"
"3201 º","Foz do Jordão",0.645,0.654,0.828,0.496,"PR"
"3201 º","Paragominas",0.645,0.667,0.781,0.514,"PA"
"3201 º","Águas Formosas",0.645,0.624,0.811,0.531,"MG"
"3201 º","Manfrinópolis",0.645,0.642,0.805,0.52,"PR"
"3201 º","Vera Cruz",0.645,0.632,0.817,0.52,"BA"
"3201 º","Fernandes Pinheiro",0.645,0.647,0.791,0.525,"PR"
"3201 º","Durandé",0.645,0.626,0.842,0.508,"MG"
"3201 º","Antônio Dias",0.645,0.624,0.849,0.507,"MG"
"3201 º","São João do Piauí",0.645,0.615,0.769,0.567,"PI"
"3222 º","Mutum",0.644,0.635,0.822,0.511,"MG"
"3222 º","Crixás do Tocantins",0.644,0.603,0.798,0.555,"TO"
"3222 º","Itacoatiara",0.644,0.618,0.811,0.534,"AM"
"3222 º","Crateús",0.644,0.618,0.787,0.55,"CE"
